"","V1","Gene_name","NB.H6_logFC","NB.H6_logCPM","NB.H6_LR","NB.H6_PValue","NB.H6_FDR","NB.D1_logFC","NB.D1_logCPM","NB.D1_LR","NB.D1_PValue","NB.D1_FDR","NB.D3_logFC","NB.D3_logCPM","NB.D3_LR","NB.D3_PValue","NB.D3_FDR","H6.D1_logFC","H6.D1_logCPM","H6.D1_LR","H6.D1_PValue","H6.D1_FDR","H6.D3_logFC","H6.D3_logCPM","H6.D3_LR","H6.D3_PValue","H6.D3_FDR","D1.D3_logFC","D1.D3_logCPM","D1.D3_LR","D1.D3_PValue","D1.D3_FDR","Gene_description","Gene_type"
"1","ENSMUSG00000002944","Mir365-1",-0.713683464332536,1.02579545193576,4.68012900987255,0.0305134568230533,0.158134223049527,0.0318363566089852,0.574712165781633,0.00581418007284817,0.93921959083657,0.992999378324715,-1.19450746188661,1.31885370861986,17.1872193260514,3.38707453427625e-05,0.00481018346955074,0.726289141317725,1.01960029135643,3.185118500569,0.0743116091153672,0.237060821910899,-0.487036478133962,1.60570954391236,2.59717281005456,0.107054533584195,0.49284024866361,-1.23361798207524,1.31715887223076,11.0265947305423,0.000898139803390404,0.0186299264407993,"CD36 molecule [Source:MGI Symbol;Acc:MGI:107899]","protein_coding"
"2","ENSMUSG00000014361","Mir6516",0.0714624476521692,6.01732583029426,0.0605752345845758,0.805589058069001,0.913839240067239,1.12181976045533,5.55652076798921,50.1953707435483,1.39175750718442e-12,3.09335502940578e-10,-0.138718454869476,6.1122485686451,0.528712795032021,0.467148530408728,0.808839232603233,1.03212804969039,5.55939239636912,11.7938498023061,0.000594267161937675,0.0113358270168031,-0.22132936561357,6.13403563376109,0.488222976991139,0.48472106630469,0.819031696390571,-1.26850667295131,5.69428611670626,39.5391492912216,3.21548108252639e-10,9.52611614604449e-08,"MER proto-oncogene tyrosine kinase [Source:MGI Symbol;Acc:MGI:96965]","protein_coding"
"3","ENSMUSG00000024164","Gm26484",-0.118483407042198,3.23794050799444,0.235025189554252,0.627822503317619,0.819801659170344,-1.25112857338427,3.89218129903076,23.8759456344262,1.02747641326122e-06,7.42664963585277e-05,-0.975012349380029,3.73480998652915,18.2823015253277,1.90468552788057e-05,0.00327715796498989,-1.16126215861945,3.97320706854425,15.6015975583319,7.81885007299955e-05,0.0025480753397802,-0.873739285695407,3.82425950334856,9.96823090300354,0.00159264448663974,0.0574045840511219,0.265367850139594,4.28694624519798,0.936188781925807,0.333259920638965,0.606000648409621,"complement component 3 [Source:MGI Symbol;Acc:MGI:88227]","protein_coding"
"4","ENSMUSG00000024401","Gm24170",1.79048450717007,2.08367427761596,12.9438392342951,0.000320976059641442,0.00803459824431196,0.887328855164017,2.3286787496506,4.0147412677175,0.0451041433910273,0.358736264109921,1.18737918539476,2.25932924971858,5.36018105380108,0.0206016347003904,0.225195877415263,-0.950881674056916,1.47454798013431,4.57806193187255,0.0323838222098982,0.144171864346384,-0.621642558973113,1.31103699686349,1.47729443713672,0.224198312950769,0.638332190259644,0.323783589205298,1.72116365211765,0.484461526696837,0.486408348226256,0.72587899215841,"tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]","protein_coding"
"5","ENSMUSG00000024743","Mir6405",-1.41770461599886,2.82634613396041,17.4433825831725,2.9599287563631e-05,0.00145768447966218,-1.1051438827095,2.55756764135382,10.5723252760389,0.00114793240802556,0.027324479447259,-0.97459448310455,2.50105522240678,10.8340677837094,0.000996494751734177,0.0462165691297459,0.283655006201894,3.20725661871322,0.485629749286502,0.485883277081494,0.697113507051657,0.430346019979413,3.18484739743628,1.30432995595074,0.253423819515026,0.664481380819827,0.120235634393221,2.96641211765647,0.105126634912793,0.745762110923707,0.883676212320547,"synaptotagmin VII [Source:MGI Symbol;Acc:MGI:1859545]","protein_coding"
"6","ENSMUSG00000031028","Gm12132",-1.63068457097383,5.10506706660045,39.1598462234311,3.90489006613892e-10,1.72605665045453e-07,-0.494893666188679,4.29648060351103,3.27478239122565,0.0703522559782422,0.467463925093096,-0.50911484422849,4.33562244787352,6.84260392587183,0.00890090017676051,0.152268363062096,1.10785119518626,5.23704590509228,11.4751889532731,0.000705314760524559,0.0126552425114673,1.10736339544291,5.27739995982233,16.6648075531481,4.46007808910062e-05,0.00451013007654497,-0.0253564523011009,4.55828244519325,0.00835448382545678,0.92717248492611,0.970497130299966,"tubby bipartite transcription factor [Source:MGI Symbol;Acc:MGI:2651573]","protein_coding"
"7","ENSMUSG00000058715","5430405H02Rik",0.173476783961265,1.57597937602729,0.38047905336607,0.53734696656923,0.76092663503158,-0.271254911943983,1.76846405429903,0.994276661516796,0.318699362670895,0.853493338357121,-1.06950239441672,2.28284344100896,16.183049362999,5.75063978602662e-05,0.00742814852029689,-0.473593764605997,1.73047049215169,3.02211590070125,0.0821362373426254,0.251421071757821,-1.25238683502078,2.26174633726485,22.9412622422252,1.67027703389025e-06,0.00028681492991387,-0.795269357774817,2.38162116915612,9.72723936067634,0.00181556978344158,0.0309490113605814,"Fc receptor, IgE, high affinity I, gamma polypeptide [Source:MGI Symbol;Acc:MGI:95496]","protein_coding"
"8","ENSMUSG00000059498","Zfp641",-0.302471591758799,1.03097355465219,1.1424858772231,0.285127661332064,0.554617216520446,0.12717179690659,0.778357444323141,0.171235799240346,0.679015841158107,0.973428522581085,-1.18868820686669,1.56732613698081,18.588726779999,1.62176759831533e-05,0.00299174323755201,0.402176793767447,0.98316725585143,1.77942471265675,0.182219984277109,0.399038279529051,-0.895399929448921,1.69401720209214,9.9356520129648,0.00162108004271712,0.0579703319008585,-1.31591060757913,1.53727127266241,19.7280522595635,8.92811405600503e-06,0.000514625651228188,"Fc receptor, IgG, low affinity III [Source:MGI Symbol;Acc:MGI:95500]","protein_coding"
"9","ENSMUSG00000059498","Zfp641",-0.302471591758799,1.03097355465219,1.1424858772231,0.285127661332064,0.554617216520446,0.12717179690659,0.778357444323141,0.171235799240346,0.679015841158107,0.973428522581085,-1.18868820686669,1.56732613698081,18.588726779999,1.62176759831533e-05,0.00299174323755201,0.402176793767447,0.98316725585143,1.77942471265675,0.182219984277109,0.399038279529051,-0.895399929448921,1.69401720209214,9.9356520129648,0.00162108004271712,0.0579703319008585,-1.31591060757913,1.53727127266241,19.7280522595635,8.92811405600503e-06,0.000514625651228188,"Fc receptor, IgG, low affinity III [Source:MGI Symbol;Acc:MGI:95500]","protein_coding"
"10","ENSMUSG00000079293","Gm37803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.53169356261206,0.592720771917828,17.2788246003959,3.22763742814457e-05,0.00465172896420031,NA,NA,NA,NA,NA,-1.55678109594849,0.574926269215756,19.4684696918271,1.02274061509629e-05,0.00141029732393808,-1.83123330184445,0.53371214732782,20.5497874871761,5.81002409296415e-06,0.00037450707271637,"C-type lectin domain family 7, member a [Source:MGI Symbol;Acc:MGI:1861431]","polymorphic_pseudogene"
